Source File: Q:\Profilers\WLP-0002\Build - 06092014\2014_06_03WLP-002QuarryTesting\01554078.DBG
Processed: 07/16/2014 10:19:24
Using Version: 1.11
Device: PDBG
Start Date: 06/04/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Data
1401874809.538	0.000	n	NOT,1,WK*5
1401874809.542	0.000	n	Winch WK. status was = 01C70000
1401874809.902	0.000	n	S,1,00000060*3
1401874809.927	0.000	n	DATE,2,6/4/2014,09:40:09*5
1401874809.985	0.000	n	LOG,2,1,01554008.WC*0
1401874810.559	0.000	n	S,1,00000170*3
1401874811.561	0.000	n	S,1,00000172*3
1401874811.562	0.000	n	Getting Descent Battery Status
1401874811.563	0.000	n	ubs BF:1 mode:2
1401874811.564	0.000	n	ubs BF:1 now mode:4
1401874811.565	0.000	n	ubs BF:2 mode:2
1401874811.566	0.000	n	ubs BF:2 now mode:4
1401874814.077	0.000	n	GP
1401874814.078	0.000	n	-772603,30.0
1401874814.082	0.000	n	Get Stat for bat =1
1401874814.092	0.000	n	quit/status test i=0
1401874814.094	0.000	n	status test BF:1 mode:4 ct:6
1401874814.095	0.000	n	status test BF:2 mode:4 ct:6
1401874814.101	0.000	n	STPM,1,0*4
1401874814.113	0.000	n	GP,2,-772603,30.00*5
1401874814.125	0.000	n	S,1,00000173*3
1401874814.140	0.000	y	&01q0 d- 33.15  0.43  20.2 4.130 4.155 0  983.66   0:55:44 m 0 0    0
1401874814.583	0.000	n	Get Stat for bat =2
1401874814.593	0.000	n	quit/status test i=0
1401874814.595	0.000	n	status test BF:1 mode:1 ct:5
1401874814.596	0.000	n	status test BF:2 mode:4 ct:6
1401874814.628	0.000	y	&02q0 d- 33.09  0.94  20.1 4.129 4.154 0  961.04   0:55:51 m 0 0    0
1401874815.083	0.000	n	Sending Bat Disable
1401874815.093	0.000	n	quit/status test i=0
1401874815.095	0.000	n	status test BF:1 mode:1 ct:5
1401874815.096	0.000	n	status test BF:2 mode:1 ct:5
1401874815.103	0.000	n	S,1,000001B3*4
1401874815.163	0.000	n	WD off detected for bat 01 with mode 1
1401874815.161	0.000	y	&01wf 1
1401874815.584	0.000	n	Sending Bat Disable
1401874815.593	0.000	n	quit/status test i=1
1401874815.595	0.000	n	status test BF:1 mode:2 ct:6
1401874815.596	0.000	n	status test BF:2 mode:1 ct:5
1401874815.645	0.000	n	WD off detected for bat 02 with mode 1
1401874815.643	0.000	y	&02wf 1
1401874816.084	0.000	n	quit/status test i=2
1401874816.086	0.000	n	status test BF:1 mode:2 ct:6
1401874816.087	0.000	n	status test BF:2 mode:2 ct:6
1401874816.157	0.000	n	SUM:1.17,1.16,0.77,32.2,-772609,01554008.PPB,64973,1020362752,82,7,33.09,4.129,961.04,2
1401874833.105	0.000	n	S,1,00001372*3
1401874833.105	0.000	n	Home shutting down inst
1401874834.480	0.000	n	SUM,5,1.423,32.0,-772609,1024049152,7*0
1401874834.494	0.000	n	wd=1.42,wv=32.0,wp=-772609
1401874834.495	0.000	n	new scooch pos=-769251
1401874834.571	0.000	n	LOG,2,0,01554008.WC*0
1401874834.573	0.000	n	cwf=01554008.WC nwf=01554078.WC
1401874834.574	0.000	n	TYPE for 01554008.WC
1401874834.619	0.000	n	TYPE,2,\140603\01554008.WC,66507*5
1401874834.664	0.000	n	Receiving file 01554008.WC of 66507 bytes
1401874843.789	0.000	n	TYPE,1,DONE*7
1401874843.790	0.000	n	wc TYPE done, not deleting
1401874843.993	0.000	n	setting wof to cwlf:01554008.WC
1401874844.235	0.000	n	Q*0
1401874844.236	0.000	n	Winch Quit received.
1401874863.539	0.000	n	Bedtime: turning CTD on to check bedtime depth
1401874865.372	0.000	n	startDepth:1.166
1401874865.375	0.000	n	CTD depth of 1.166 at 1401874865 after early wake to check depth
1401874865.376	0.000	n	Turning off CTD
1401875165.378	0.000	n	Turning CTD back on at 1401875165 to check depth
1401875167.212	0.000	n	startDepth:1.169
1401875167.215	0.000	n	CTD depth of 1.169 at 1401875167 after early wake to check depth
1401875167.216	0.000	n	Turning off CTD
1401875222.002	0.000	n	Start time at 1401875222 while checking depth from prev ps 13
1401875222.260	0.000	n	ACS over pkt size
1401875222.262	0.000	n	SUNA over pkt size
1401875222.263	0.000	n	SUNA over buf size
1401875224.068	0.000	n	startDepth:1.167
1401875224.799	0.000	n	ADCP over pkt size
1401875225.380	0.000	n	NOT,1,WK*5
1401875225.383	0.000	n	Winch WK. status was = 01870000
1401875225.746	0.000	n	S,1,00000060*3
1401875225.763	0.000	n	DATE,2,6/4/2014,09:47:05*5
1401875225.841	0.000	n	LOG,2,1,01554078.WC*0
1401875226.399	0.000	n	S,1,00000170*3
1401875227.411	0.000	n	S,1,00000172*3
1401875227.412	0.000	n	Skipping start setup
1401875227.432	0.000	n	D,1,1.423*0
1401875227.442	0.000	n	Winch Depth = 1.42
1401875227.442	0.000	n	Depth ok. Changing to PRO_START
1401875232.008	0.000	n	START GO
1401875232.008	0.000	n	0.70,10.0
1401875232.009	0.000	n	Getting Setup Battery Status
1401875232.010	0.000	n	ubs BF:1 mode:2
1401875232.011	0.000	n	ubs BF:1 now mode:4
1401875232.012	0.000	n	ubs BF:2 mode:2
1401875232.012	0.000	n	ubs BF:2 now mode:4
1401875232.045	0.000	n	GO,2,0.700,10.00*4
1401875232.434	0.000	n	S,1,000001B3*4
1401875232.513	0.000	n	Get Stat for bat =1
1401875232.523	0.000	n	quit/status test i=0
1401875232.525	0.000	n	status test BF:1 mode:4 ct:6
1401875232.526	0.000	n	status test BF:2 mode:4 ct:6
1401875232.589	0.000	y	&01q0 d- 33.15  1.02  20.1 4.129 4.154 0  982.67   1:02:33 m 0 0    0
1401875233.014	0.000	n	Get Stat for bat =2
1401875233.024	0.000	n	quit/status test i=0
1401875233.025	0.000	n	status test BF:1 mode:1 ct:5
1401875233.027	0.000	n	status test BF:2 mode:4 ct:6
1401875233.065	0.000	y	&02q0 d- 33.13  0.83  20.1 4.129 4.153 0  960.06   1:02:41 m 0 0    0
1401875233.516	0.000	n	Sending Bat Disable
1401875233.525	0.000	n	quit/status test i=0
1401875233.527	0.000	n	status test BF:1 mode:1 ct:5
1401875233.529	0.000	n	status test BF:2 mode:1 ct:5
