2004/12/25 09:11:14.019 [dosta:DLOGP1]:File 20041225.dosta4.log, Meta 1 of 2, Sensor 250, Garbled 0
2004/12/25 09:11:27.598 [dosta:DLOGP2]:Generated by Steve Myerson
2004/12/25 09:11:41.177 [dosta:DLOGP3]:Idle state, without initialize
2004/12/25 09:11:54.756 [dosta:DLOGP4]:Instrument Started on second attempt [Power On]
2004/12/25 09:12:08.335 4831	666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2004/12/25 09:12:21.914 4831	666	1.002	0.240	0.200	0.180	0.180	0.180	0.180	3.006	3.006	0.501
2004/12/25 09:12:35.493 4831	666	2.004	0.481	0.401	0.361	0.361	0.361	0.361	6.012	6.012	1.002
2004/12/25 09:12:49.072 4831	666	3.006	0.721	0.601	0.541	0.541	0.541	0.541	9.018	9.018	1.503
2004/12/25 09:13:02.651 4831	666	4.008	0.962	0.802	0.721	0.721	0.721	0.721	12.024	12.024	2.004
2004/12/25 09:13:16.230 4831	666	5.010	1.202	1.002	0.902	0.902	0.902	0.902	15.030	15.030	2.505
2004/12/25 09:13:29.809 4831	666	6.012	1.443	1.202	1.082	1.082	1.082	1.082	18.036	18.036	3.006
2004/12/25 09:13:43.388 4831	666	7.014	1.683	1.403	1.263	1.263	1.263	1.263	21.042	21.042	3.507
2004/12/25 09:13:56.967 4831	666	8.016	1.924	1.603	1.443	1.443	1.443	1.443	24.048	24.048	4.008
2004/12/25 09:14:10.546 4831	666	9.018	2.164	1.804	1.623	1.623	1.623	1.623	27.054	27.054	4.509
2004/12/25 09:14:24.125 4831	666	10.020	2.405	2.004	1.804	1.804	1.804	1.804	30.060	30.060	5.010
2004/12/25 09:14:37.704 4831	666	11.022	2.645	2.204	1.984	1.984	1.984	1.984	33.066	33.066	5.511
2004/12/25 09:14:51.283 4831	666	12.024	2.886	2.405	2.164	2.164	2.164	2.164	36.072	36.072	6.012
2004/12/25 09:15:04.862 4831	666	13.026	3.126	2.605	2.345	2.345	2.345	2.345	39.078	39.078	6.513
2004/12/25 09:15:18.441 4831	666	14.028	3.367	2.806	2.525	2.525	2.525	2.525	42.084	42.084	7.014
2004/12/25 09:15:32.020 4831	666	15.030	3.607	3.006	2.705	2.705	2.705	2.705	45.090	45.090	7.515
2004/12/25 09:15:45.599 4831	666	16.032	3.848	3.206	2.886	2.886	2.886	2.886	48.096	48.096	8.016
2004/12/25 09:15:59.178 4831	666	17.034	4.088	3.407	3.066	3.066	3.066	3.066	51.102	51.102	8.517
2004/12/25 09:16:12.757 4831	666	18.036	4.329	3.607	3.246	3.246	3.246	3.246	54.108	54.108	9.018
2004/12/25 09:16:26.336 4831	666	19.038	4.569	3.808	3.427	3.427	3.427	3.427	57.114	57.114	9.519
2004/12/25 09:16:39.915 4831	666	20.040	4.810	4.008	3.607	3.607	3.607	3.607	60.120	60.120	10.020
2004/12/25 09:16:53.494 4831	666	21.042	5.050	4.208	3.788	3.788	3.788	3.788	63.126	63.126	10.521
2004/12/25 09:17:07.073 4831	666	22.044	5.291	4.409	3.968	3.968	3.968	3.968	66.132	66.132	11.022
2004/12/25 09:17:20.652 4831	666	23.046	5.531	4.609	4.148	4.148	4.148	4.148	69.138	69.138	11.523
2004/12/25 09:17:34.231 4831	666	24.048	5.772	4.810	4.329	4.329	4.329	4.329	72.144	72.144	12.024
