2002/02/22 05:07:10.015 [dosta:DLOGP1]:File 20020222.dosta2.log, Meta 1 of 2, Sensor 22, Garbled 0
2002/02/22 05:07:23.594 [dosta:DLOGP2]:Generated by Steve Myerson
2002/02/22 05:07:37.173 [dosta:DLOGP3]:Idle state, without initialize
2002/02/22 05:07:50.752 [dosta:DLOGP4]:Instrument Started on second attempt [Power On]
2002/02/22 05:08:04.331 4831	2002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2002/02/22 05:08:17.910 4831	2002	11.628	2.791	2.326	2.093	2.093	2.093	2.093	34.884	34.884	5.814
2002/02/22 05:08:31.489 4831	2002	23.256	5.581	4.651	4.186	4.186	4.186	4.186	69.767	69.767	11.628
2002/02/22 05:08:45.068 4831	2002	34.884	8.372	6.977	6.279	6.279	6.279	6.279	104.651	104.651	17.442
2002/02/22 05:08:58.647 4831	2002	46.512	11.163	9.302	8.372	8.372	8.372	8.372	139.535	139.535	23.256
2002/02/22 05:09:12.226 4831	2002	58.140	13.953	11.628	10.465	10.465	10.465	10.465	174.419	174.419	29.070
2002/02/22 05:09:25.805 4831	2002	69.767	16.744	13.953	12.558	12.558	12.558	12.558	209.302	209.302	34.884
2002/02/22 05:09:39.384 4831	2002	81.395	19.535	16.279	14.651	14.651	14.651	14.651	244.186	244.186	40.698
2002/02/22 05:09:52.963 4831	2002	93.023	22.326	18.605	16.744	16.744	16.744	16.744	279.070	279.070	46.512
2002/02/22 05:10:06.542 4831	2002	104.651	25.116	20.930	18.837	18.837	18.837	18.837	313.953	313.953	52.326
2002/02/22 05:10:20.121 4831	2002	116.279	27.907	23.256	20.930	20.930	20.930	20.930	348.837	348.837	58.140
2002/02/22 05:10:33.700 4831	2002	127.907	30.698	25.581	23.023	23.023	23.023	23.023	383.721	383.721	63.953
2002/02/22 05:10:47.279 4831	2002	139.535	33.488	27.907	25.116	25.116	25.116	25.116	418.605	418.605	69.767
2002/02/22 05:11:00.858 4831	2002	151.163	36.279	30.233	27.209	27.209	27.209	27.209	453.488	453.488	75.581
2002/02/22 05:11:14.437 4831	2002	162.791	39.070	32.558	29.302	29.302	29.302	29.302	488.372	488.372	81.395
2002/02/22 05:11:28.016 4831	2002	174.419	41.860	34.884	31.395	31.395	31.395	31.395	523.256	523.256	87.209
2002/02/22 05:11:41.595 4831	2002	186.047	44.651	37.209	33.488	33.488	33.488	33.488	558.140	558.140	93.023
2002/02/22 05:11:55.174 4831	2002	197.674	47.442	39.535	35.581	35.581	35.581	35.581	593.023	593.023	98.837
2002/02/22 05:12:08.753 4831	2002	209.302	50.233	41.860	37.674	37.674	37.674	37.674	627.907	627.907	104.651
2002/02/22 05:12:22.332 4831	2002	220.930	53.023	44.186	39.767	39.767	39.767	39.767	662.791	662.791	110.465
2002/02/22 05:12:35.911 4831	2002	232.558	55.814	46.512	41.860	41.860	41.860	41.860	697.674	697.674	116.279
2002/02/22 05:12:49.490 4831	2002	244.186	58.605	48.837	43.953	43.953	43.953	43.953	732.558	732.558	122.093
2002/02/22 05:13:03.069 [dosta:DLOGP1]:File 20020222.dosta2.log, Meta 2 of 2, Sensor 22, Garbled 0
2002/02/22 05:13:16.648 [dosta:DLOGP2]:Generated by Steve Myerson
2002/02/22 05:13:30.227 [dosta:DLOGP3]:Idle state, without initialize
2002/02/22 05:13:43.806 [dosta:DLOGP4]:Instrument Started on second attempt [Power On]
2002/02/22 05:13:57.385 4831	2002	255.814	61.395	51.163	46.047	46.047	46.047	46.047	767.442	767.442	127.907
2002/02/22 05:14:10.964 4831	2002	267.442	64.186	53.488	48.140	48.140	48.140	48.140	802.326	802.326	133.721
2002/02/22 05:14:24.543 4831	2002	279.070	66.977	55.814	50.233	50.233	50.233	50.233	837.209	837.209	139.535
2002/02/22 05:14:38.122 4831	2002	290.698	69.767	58.140	52.326	52.326	52.326	52.326	872.093	872.093	145.349
2002/02/22 05:14:51.701 4831	2002	302.326	72.558	60.465	54.419	54.419	54.419	54.419	906.977	906.977	151.163
2002/02/22 05:15:05.280 4831	2002	313.953	75.349	62.791	56.512	56.512	56.512	56.512	941.860	941.860	156.977
2002/02/22 05:15:18.859 4831	2002	325.581	78.140	65.116	58.605	58.605	58.605	58.605	976.744	976.744	162.791
2002/02/22 05:15:32.438 4831	2002	337.209	80.930	67.442	60.698	60.698	60.698	60.698	1011.628	1011.628	168.605
2002/02/22 05:15:46.017 4831	2002	348.837	83.721	69.767	62.791	62.791	62.791	62.791	1046.512	1046.512	174.419
2002/02/22 05:15:59.596 4831	2002	360.465	86.512	72.093	64.884	64.884	64.884	64.884	1081.395	1081.395	180.233
2002/02/22 05:16:13.175 4831	2002	372.093	89.302	74.419	66.977	66.977	66.977	66.977	1116.279	1116.279	186.047
2002/02/22 05:16:26.754 4831	2002	383.721	92.093	76.744	69.070	69.070	69.070	69.070	1151.163	1151.163	191.860
2002/02/22 05:16:40.333 4831	2002	395.349	94.884	79.070	71.163	71.163	71.163	71.163	1186.047	1186.047	197.674
2002/02/22 05:16:53.912 4831	2002	406.977	97.674	81.395	73.256	73.256	73.256	73.256	1220.930	1220.930	203.488
2002/02/22 05:17:07.491 4831	2002	418.605	100.465	83.721	75.349	75.349	75.349	75.349	1255.814	1255.814	209.302
2002/02/22 05:17:21.070 4831	2002	430.233	103.256	86.047	77.442	77.442	77.442	77.442	1290.698	1290.698	215.116
2002/02/22 05:17:34.649 4831	2002	441.860	106.047	88.372	79.535	79.535	79.535	79.535	1325.581	1325.581	220.930
2002/02/22 05:17:48.228 4831	2002	453.488	108.837	90.698	81.628	81.628	81.628	81.628	1360.465	1360.465	226.744
2002/02/22 05:18:01.807 4831	2002	465.116	111.628	93.023	83.721	83.721	83.721	83.721	1395.349	1395.349	232.558
2002/02/22 05:18:15.386 4831	2002	476.744	114.419	95.349	85.814	85.814	85.814	85.814	1430.233	1430.233	238.372
2002/02/22 05:18:28.965 4831	2002	488.372	117.209	97.674	87.907	87.907	87.907	87.907	1465.116	1465.116	244.186
